UID,Yr,NRows,Mean_ForStrat_ground,Mean_ForStrat_understory,Mean_ForStrat_midhigh,Mean_ForStrat_canopy,Mean_ForStrat_aerial,Air,Air_sallier,Bark,Canopy,Ground,Nectar,Raptor,Shrub,Water,Aquatic,Cavities,DeciduousMCF,Forest,Generalist,Lowlands,Lowlands_Cliffs,Mixed_conifer_forest,Mountain_scrub,Oaks,Openings,Pines,PinyonJuniper,Riparian,Urban,Grassland,HumanModified,Rock,Shrubland,Wetland,Woodland,skyIs,lat,lon,fireYear,dnbr,sampleYr1,sampleYr2,lastSampleYear,elapsedYrs,median_10yrsPrior,min_firePlus3,median_05yrsPostMin,median_10yrsPostMin,phix05,rfvc10,Country,isl_map,isl_field,transect,point,year.sampled,PC1,PC2,Com_Cl,Com_Des,unique_id,focal.yrs.max,focal.count.max,div.years,div.count,years.since,fire1.focalvar.dnbr,fire1.focalmean.dnbr,fire2.focalvar.dnbr,fire2.focalmean.dnbr,fire3.focalvar.dnbr,fire3.focalmean.dnbr,history.class,pines_beta,shrub_beta,forest_beta,Com_DesUO
Azul_3_6_2010,2010,1,20,18.33333333,40,21.66666667,0,0,0,0,0.75,0,0,0.083333333,0.166666667,0,0,0,0,0.166666667,0,0,0,0,0.083333333,0.416666667,0,0.333333333,0,0,0,0,0,0,0,0,0.083333333,SAN ANTONIO - AZUL,30.744,-110.5716,2005,138.9219055,2010,NA,2010,5,52.921875,27.67709351,40.30209351,55.89584351,0.500103358,1.117805278,Mexico,SAN ANTONIO - AZUL,Azul,3,6,2010,0.530517252,0.324858469,PF,Pine forest,Azul_3_6,2005,1,1,1,5,6780.456369,-57.64517014,NA,NA,NA,NA,1,0.333333333,0.166666667,0.166666667,Pine forest
Azul_5_1_2010,2010,1,15,27.16666667,33.83333333,23.83333333,0,0,0.166666667,0.166666667,0.583333333,0.083333333,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0,0.5,0,0.083333333,0,0,0,0,0,0,0,0,0,SAN ANTONIO - AZUL,30.7464,-110.5706,2005,165.8558807,2010,NA,2010,5,75.17707825,58.71875,68.5,72.51042175,0.594303981,0.837975252,Mexico,SAN ANTONIO - AZUL,Azul,5,1,2010,0.530517252,0.324858469,POW,Pine oak woodland,Azul_5_1,2005,1,1,1,5,10778.03257,-77.53602486,NA,NA,NA,NA,1,0.083333333,0.01,0.416666667,Pine oak woodland
Azul_5_2_2010,2010,1,21.76470588,37.82352941,21.94117647,13.11764706,5.294117647,0.058823529,0.117647059,0,0.588235294,0,0,0,0.235294118,0,0,0,0,0.176470588,0.058823529,0,0,0,0.176470588,0.470588235,0.058823529,0.058823529,0,0,0,0,0,0.058823529,0.058823529,0,0,SAN ANTONIO - AZUL,30.7447,-110.5704,2005,-39.30324173,2010,NA,2010,5,63.38541412,45.54167175,63.03125,64.06249237,0.980151915,1.037944857,Mexico,SAN ANTONIO - AZUL,Azul,5,2,2010,0.530517252,0.324858469,POW,Pine oak woodland,Azul_5_2,2005,1,1,1,5,8731.114711,-102.9474853,NA,NA,NA,NA,1,0.058823529,0.235294118,0.176470588,Pine oak woodland
Azul_5_3_2010,2010,1,22.14285714,24.28571429,35.71428571,15.71428571,2.142857143,0,0.142857143,0.071428571,0.642857143,0.071428571,0,0,0.071428571,0,0,0,0,0.285714286,0,0,0.071428571,0.071428571,0.071428571,0.285714286,0,0.214285714,0,0,0,0,0,0.071428571,0,0,0,SAN ANTONIO - AZUL,30.7435,-110.5696,2005,7.315680981,2010,NA,2010,5,69.44270325,35.83334351,46.57290649,47.86457825,0.319540838,0.357972744,Mexico,SAN ANTONIO - AZUL,Azul,5,3,2010,0.530517252,0.324858469,PF,Pine forest,Azul_5_3,2005,1,1,1,5,5826.47058,-83.27606593,NA,NA,NA,NA,1,0.214285714,0.071428571,0.285714286,Pine forest
Azul_5_4_2010,2010,1,17,37.3,32.3,13.3,0,0,0.1,0.1,0.7,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0.1,0.7,0,0,0,0,0,0,0,0,0,0,0,SAN ANTONIO - AZUL,30.7482,-110.5704,2005,6.620528698,2010,NA,2010,5,78.36458588,62.58332825,66.94790649,88.11978149,0.276567201,1.618150711,Mexico,SAN ANTONIO - AZUL,Azul,5,4,2010,0.530517252,0.324858469,POW,Pine oak woodland,Azul_5_4,2005,1,1,1,5,5656.029167,-78.37090733,NA,NA,NA,NA,1,0.01,0.1,0.2,Pine oak woodland
Azul_6_6_2010,2010,1,39.16666667,23.58333333,16.08333333,13.58333333,7.5,0.083333333,0,0.083333333,0.333333333,0.25,0,0,0.25,0,0,0,0,0.166666667,0.083333333,0,0.083333333,0,0.166666667,0.416666667,0.083333333,0,0,0,0,0,0,0.166666667,0.25,0,0,SAN ANTONIO - AZUL,30.7442,-110.5664,2005,100.2247009,2010,NA,2010,5,49.05209351,-8.541671753,18.40623474,24.39582825,0.467896245,0.5718935,Mexico,SAN ANTONIO - AZUL,Azul,6,6,2010,0.530517252,0.324858469,POW,Pine oak woodland,Azul_6_6,2005,1,1,1,5,9549.464683,-71.01866417,NA,NA,NA,NA,1,0.01,0.25,0.166666667,Pine oak woodland
Chiricahua_A_1_2014,2014,4,8.933712121,28.89128788,45.32689394,15.51628788,1.306818182,0,0.232765152,0.068560606,0.546780303,0.052083333,0.05625,0,0.043560606,0,0,0,0.03125,0.486363636,0,0,0,0.068560606,0.043560606,0.160227273,0,0.210037879,0,0,0,0,0,0,0.052083333,0,0,DOS CABEZAS - CHIRACAHUA,31.8464,-109.325,2011,226,2014,1996,2014,3,59.04167175,6.958328247,26.55209351,29.67708588,0.376200219,0.43620006099999997,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,1,2014,0.660057176,0.358825995,POW,Pine oak woodland,CM_A_1,2011,1,1,1,3,3288.156513,39.9653893,NA,NA,NA,NA,1,0.210037879,0.043560606,0.486363636,Pine oak woodland
Chiricahua_A_2_2014,2014,4,29.94047619,42.38690476,18.53571429,8.511904762,0.625,0,0.020833333,0,0.523809524,0.313095238,0.056547619,0,0.085714286,0,0,0,0.020833333,0.361309524,0.05,0,0,0.098214286,0.085714286,0.135714286,0,0.248214286,0,0,0,0,0,0,0.292261905,0,0,DOS CABEZAS - CHIRACAHUA,31.8438,-109.32470000000001,2011,80,2014,1996,2014,3,66.90624237,57.86457825,63.10417175,63.30208588,0.579494376,0.601383501,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,2,2014,0.660057176,0.358825995,OW,Oak woodland,CM_A_2,2011,1,1,1,3,5718.106832,49.21364541,NA,NA,NA,NA,1,0.248214286,0.085714286,0.361309524,Oak woodland
Chiricahua_A_4_2014,2014,4,15,24.04761905,41.07142857,14.88095238,5,0,0,0.035714286,0.845238095,0,0.119047619,0,0,0,0,0,0.083333333,0.321428571,0,0,0,0.273809524,0,0.083333333,0,0.238095238,0,0,0,0,0,0,0,0,0,DOS CABEZAS - CHIRACAHUA,31.8399,-109.3243,2011,138,2014,1996,2014,3,33.58333588,1.166656494,24.23957825,28.62500763,0.711760803,0.847043919,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,4,2014,0.706649429,0.300416238,PF,Pine forest,CM_A_4,2011,1,1,1,3,5198.577363,114.6140591,NA,NA,NA,NA,1,0.238095238,0.01,0.321428571,Pine forest
Chiricahua_A_5_2014,2014,4,28.33333333,31.04166667,21.45833333,17.29166667,1.875,0,0,0.041666667,0.5625,0.270833333,0.0625,0,0.0625,0,0,0,0,0.166666667,0,0,0,0.166666667,0.0625,0.166666667,0,0.4375,0,0,0,0,0,0,0.104166667,0,0,DOS CABEZAS - CHIRACAHUA,31.8376,-109.3241,2011,168.536087,2014,1996,2014,3,27.01042175,-12.80209351,5.8125,7.536460876,0.46755633,0.510858313,United States,DOS CABEZAS - CHIRACAHUA,Chiricahua,A,5,2014,0.706649429,0.300416238,PF,Pine forest,CM_A_5,2011,1,1,1,3,12788.36129,237.5820292,NA,NA,NA,NA,3,0.4375,0.0625,0.166666667,Pine forest
